row,col,x_center_nominal_mm,y_scanline_relative_mm,start_source_index,stop_source_index_exclusive,sample_count,median_current_A,mean_current_A,std_current_A,high_sample_fraction,binary_0_low_1_high
1,8,17.0,2.0,982,994,12,3.303522e-07,3.3037239999999993e-07,2.360957891760607e-10,0.0,0
1,9,19.0,2.0,970,982,12,3.29473e-07,3.294873e-07,2.7513441260591336e-10,0.0,0
1,10,21.0,2.0,959,970,11,3.288514e-07,3.2882294545454545e-07,1.5056769159439634e-10,0.0,0
1,11,23.0,2.0,947,959,12,3.280101e-07,3.279986916666667e-07,3.2011669345811496e-10,0.0,0
1,12,25.0,2.0,935,947,12,3.2689429999999997e-07,3.2690479166666666e-07,2.7678821464052457e-10,0.0,0
1,13,27.0,2.0,923,935,12,3.259675e-07,3.2597439166666664e-07,2.7360130804491464e-10,0.0,0
1,14,29.0,2.0,911,923,12,3.2485855e-07,3.2483541666666664e-07,4.0132747607852686e-10,0.0,0
1,15,31.0,2.0,899,911,12,3.2336214999999997e-07,3.233453833333334e-07,4.386378001520348e-10,0.0,0
1,16,33.0,2.0,887,899,12,3.2160409999999996e-07,3.216110916666667e-07,5.586894403547377e-10,0.0,0
1,17,35.0,2.0,875,887,12,3.195256e-07,3.1952585e-07,6.644052747884123e-10,0.0,0
1,18,37.0,2.0,863,875,12,3.1707339999999997e-07,3.170421833333333e-07,7.90836067961552e-10,0.0,0
1,19,39.0,2.0,851,863,12,3.140295e-07,3.1401314166666665e-07,9.645261457129545e-10,0.0,0
1,20,41.0,2.0,840,851,11,3.105598e-07,3.1050740909090905e-07,1.0605923957474704e-09,0.0,0
1,21,43.0,2.0,828,840,12,3.0640285e-07,3.063457666666667e-07,1.3370523053426981e-09,0.0,0
1,22,45.0,2.0,816,828,12,3.0131805e-07,3.012712166666667e-07,1.5773693563616855e-09,0.0,0
1,23,47.0,2.0,804,816,12,2.952456e-07,2.9522344166666666e-07,1.8828455926506254e-09,0.0,0
1,24,49.0,2.0,792,804,12,2.8812515e-07,2.881082416666667e-07,2.180484873622657e-09,0.0,0
1,25,51.0,2.0,780,792,12,2.8035465e-07,2.80331475e-07,2.2813515165083606e-09,0.0,0
1,26,53.0,2.0,768,780,12,2.7299435e-07,2.732409666666667e-07,1.5920215934116253e-09,0.0,0
1,27,55.0,2.0,756,768,12,2.7401935e-07,2.7623756666666665e-07,5.503681734429141e-09,0.0,0
