row,col,x_center_nominal_mm,y_scanline_relative_mm,start_source_index,stop_source_index_exclusive,sample_count,median_current_A,mean_current_A,std_current_A,high_sample_fraction,binary_0_low_1_high
0,48,97.0,0.0,5590,5668,78,3.5e-06,3.501666666666669e-06,5.4104994476946134e-09,0.0,0
0,49,99.0,0.0,5668,5745,77,3.51e-06,3.5119480519480528e-06,4.845391715890412e-09,0.0,0
1,0,1.0,2.0,9683,9760,77,2.48e-05,2.4805194805194806e-05,2.2192217520305063e-08,1.0,1
1,1,3.0,2.0,9605,9683,78,2.48e-05,2.480128205128205e-05,1.1249954342810306e-08,1.0,1
1,2,5.0,2.0,9527,9605,78,2.48e-05,2.4805128205128206e-05,2.205724427446806e-08,1.0,1
1,3,7.0,2.0,9449,9527,78,2.48e-05,2.4802564102564103e-05,1.5806189751202353e-08,1.0,1
1,4,9.0,2.0,9371,9449,78,2.48e-05,2.4811538461538463e-05,3.194855331891537e-08,1.0,1
1,5,11.0,2.0,9294,9371,77,2.48e-05,2.4815584415584416e-05,3.627075336043846e-08,1.0,1
1,6,13.0,2.0,9216,9294,78,2.48e-05,2.482179487179487e-05,4.128523637975503e-08,1.0,1
1,7,15.0,2.0,9138,9216,78,2.48e-05,2.4811538461538463e-05,3.194855331891537e-08,1.0,1
1,8,17.0,2.0,9060,9138,78,2.48e-05,2.4819230769230775e-05,3.941134909984423e-08,1.0,1
1,9,19.0,2.0,8982,9060,78,2.48e-05,2.48025641025641e-05,1.580618975120235e-08,1.0,1
1,10,21.0,2.0,8904,8982,78,2.48e-05,2.4802564102564103e-05,1.5806189751202353e-08,1.0,1
1,11,23.0,2.0,8827,8904,77,2.48e-05,2.4794805194805196e-05,2.2192217520305067e-08,1.0,1
1,12,25.0,2.0,8749,8827,78,2.44e-05,2.394487179487179e-05,9.530850630503026e-07,1.0,1
1,13,27.0,2.0,8671,8749,78,2.31e-05,2.2916666666666667e-05,4.729657294102623e-07,1.0,1
1,14,29.0,2.0,8593,8671,78,2.33e-05,2.3279487179487177e-05,4.037952755903454e-08,1.0,1
1,15,31.0,2.0,8515,8593,78,2.33e-05,2.329358974358974e-05,2.4493555351977717e-08,1.0,1
1,16,33.0,2.0,8438,8515,77,2.33e-05,2.3290909090909087e-05,2.8747978728803175e-08,1.0,1
1,17,35.0,2.0,8360,8438,78,2.33e-05,2.3252564102564096e-05,4.993421049782118e-08,1.0,1
1,18,37.0,2.0,8282,8360,78,2.33e-05,2.332564102564102e-05,4.366509324596471e-08,1.0,1
1,19,39.0,2.0,8204,8282,78,2.33e-05,2.334358974358974e-05,4.9587383604650074e-08,1.0,1
1,20,41.0,2.0,8126,8204,78,2.34e-05,2.3384615384615382e-05,3.6080121229410647e-08,1.0,1
1,21,43.0,2.0,8049,8126,77,2.34e-05,2.3384415584415586e-05,3.6270753360438464e-08,1.0,1
1,22,45.0,2.0,7971,8049,78,2.34e-05,2.3366666666666668e-05,4.7140452079102715e-08,1.0,1
1,23,47.0,2.0,7893,7971,78,2.34e-05,2.3376923076923073e-05,4.213250442347391e-08,1.0,1
1,24,49.0,2.0,7815,7893,78,2.34e-05,2.3400000000000003e-05,3.3881317890172014e-21,1.0,1
1,25,51.0,2.0,7737,7815,78,2.34e-05,2.3392307692307694e-05,2.664693550105939e-08,1.0,1
1,26,53.0,2.0,7660,7737,77,2.34e-05,2.337662337662338e-05,4.232252139428615e-08,1.0,1
1,27,55.0,2.0,7582,7660,78,2.34e-05,2.3398717948717948e-05,1.1249954342810306e-08,1.0,1
1,28,57.0,2.0,7504,7582,78,2.34e-05,2.3402564102564103e-05,1.5806189751202356e-08,1.0,1
1,29,59.0,2.0,7426,7504,78,2.35e-05,2.3461538461538464e-05,4.865042554105151e-08,1.0,1
1,30,61.0,2.0,7348,7426,78,2.33e-05,2.3337179487179494e-05,9.622219792800317e-08,1.0,1
1,31,63.0,2.0,7270,7348,78,2.32e-05,2.3179487179487174e-05,9.521766475706276e-08,1.0,1
1,32,65.0,2.0,7193,7270,77,2.28e-05,2.2809090909090915e-05,1.1302432582875151e-07,1.0,1
1,33,67.0,2.0,7115,7193,78,2.255e-05,2.2557692307692315e-05,1.0803516850144712e-07,1.0,1
1,34,69.0,2.0,7037,7115,78,2.24e-05,2.2378205128205127e-05,1.420070744874033e-07,1.0,1
1,35,71.0,2.0,6959,7037,78,2.15e-05,2.1501282051282056e-05,3.002108616834429e-07,1.0,1
1,36,73.0,2.0,6881,6959,78,2.07e-05,2.0734615384615378e-05,1.347618251097224e-07,1.0,1
1,37,75.0,2.0,6804,6881,77,2.04e-05,2.0350649350649355e-05,2.0105137717959545e-07,1.0,1
1,38,77.0,2.0,6726,6804,78,1.95e-05,1.9392307692307695e-05,3.489064347317756e-07,1.0,1
1,39,79.0,2.0,6648,6726,78,1.725e-05,1.716923076923077e-05,9.377151298205016e-07,1.0,1
1,40,81.0,2.0,6570,6648,78,1.73e-05,1.849230769230769e-05,3.0513876301492747e-06,1.0,1
1,41,83.0,2.0,6492,6570,78,2.34e-05,2.3402564102564103e-05,2.761622978017668e-08,1.0,1
1,42,85.0,2.0,6415,6492,77,2.34e-05,2.3410389610389613e-05,3.0512571751871736e-08,1.0,1
1,43,87.0,2.0,6337,6415,78,2.34e-05,2.3402564102564103e-05,3.913932698070154e-08,1.0,1
1,44,89.0,2.0,6259,6337,78,2.34e-05,2.3448717948717953e-05,4.9983560742609585e-08,1.0,1
1,45,91.0,2.0,6181,6259,78,2.35e-05,2.3497435897435902e-05,1.5806189751202356e-08,1.0,1
1,46,93.0,2.0,6103,6181,78,2.35e-05,1.7971410256410262e-05,8.279597061352461e-06,0.6923076923076923,1
1,47,95.0,2.0,6025,6103,78,3.52e-06,3.5312820512820507e-06,2.9585121622756022e-08,0.0,0
1,48,97.0,2.0,5948,6025,77,3.52e-06,3.517532467532468e-06,4.311218876025552e-09,0.0,0
1,49,99.0,2.0,5870,5948,78,3.52e-06,3.5188461538461555e-06,3.573682016606858e-09,0.0,0
2,0,1.0,4.0,9885,9963,78,2.48e-05,2.48025641025641e-05,1.580618975120235e-08,1.0,1
2,1,3.0,4.0,9963,10041,78,2.48e-05,2.480128205128205e-05,1.1249954342810306e-08,1.0,1
2,2,5.0,4.0,10041,10118,77,2.48e-05,2.48e-05,0.0,1.0,1
2,3,7.0,4.0,10118,10196,78,2.48e-05,2.48025641025641e-05,1.580618975120235e-08,1.0,1
2,4,9.0,4.0,10196,10274,78,2.48e-05,2.4796153846153845e-05,1.9230769230769045e-08,1.0,1
2,5,11.0,4.0,10274,10352,78,2.48e-05,2.4798717948717948e-05,1.1249954342810304e-08,1.0,1
2,6,13.0,4.0,10352,10430,78,2.48e-05,2.4798717948717948e-05,1.1249954342810306e-08,1.0,1
2,7,15.0,4.0,10430,10507,77,2.48e-05,2.478961038961039e-05,3.0512571751871736e-08,1.0,1
2,8,17.0,4.0,10507,10585,78,2.47e-05,2.4732051282051278e-05,4.666737108513108e-08,1.0,1
2,9,19.0,4.0,10585,10663,78,2.47e-05,2.4739743589743583e-05,4.893675559997982e-08,1.0,1
2,10,21.0,4.0,10663,10741,78,2.47e-05,2.4742307692307686e-05,4.9404740687173095e-08,1.0,1
2,11,23.0,4.0,10741,10819,78,2.47e-05,2.4741025641025635e-05,4.918801562371974e-08,1.0,1
2,12,25.0,4.0,10819,10896,77,2.47e-05,2.4631168831168828e-05,2.139667046921451e-07,1.0,1
2,13,27.0,4.0,10896,10974,78,2.28e-05,2.272948717948717e-05,5.454024565210762e-07,1.0,1
2,14,29.0,4.0,10974,11052,78,2.28e-05,2.281282051282051e-05,2.209298382414156e-07,1.0,1
2,15,31.0,4.0,11052,11130,78,2.2e-05,2.193333333333333e-05,3.0368111930480985e-07,1.0,1
2,16,33.0,4.0,11130,11208,78,2.08e-05,2.0791025641025634e-05,2.5327895710415533e-07,1.0,1
2,17,35.0,4.0,11208,11285,77,2.03e-05,2.0319480519480522e-05,4.569509632664799e-08,1.0,1
2,18,37.0,4.0,11285,11363,78,2.01e-05,2.0060256410256405e-05,1.52197361402499e-07,1.0,1
2,19,39.0,4.0,11363,11441,78,1.88e-05,1.886794871794871e-05,4.805161727163261e-07,1.0,1
2,20,41.0,4.0,11441,11519,78,1.705e-05,1.6885897435897438e-05,9.58327116007617e-07,1.0,1
2,21,43.0,4.0,11519,11597,78,1.355e-05,1.3635897435897433e-05,7.410966162443396e-07,1.0,1
2,22,45.0,4.0,11597,11675,78,1.12e-05,1.1212820512820514e-05,6.355613255647193e-07,0.16666666666666666,0
2,23,47.0,4.0,11675,11752,77,8.63e-06,8.643246753246755e-06,8.046802084145812e-07,0.0,0
2,24,49.0,4.0,11752,11830,78,6.35e-06,6.392564102564104e-06,4.594183499272048e-07,0.0,0
2,25,51.0,4.0,11830,11908,78,5.185e-06,5.233846153846155e-06,1.9740126236334707e-07,0.0,0
2,26,53.0,4.0,11908,11986,78,4.82e-06,4.808205128205128e-06,1.0451037968011117e-07,0.0,0
2,27,55.0,4.0,11986,12064,78,4.455e-06,4.452564102564102e-06,8.376456471036957e-08,0.0,0
2,28,57.0,4.0,12064,12141,77,4.23e-06,4.24116883116883e-06,3.437660129820349e-08,0.0,0
2,29,59.0,4.0,12141,12219,78,4.2e-06,4.2025641025641026e-06,7.238766263330095e-09,0.0,0
2,30,61.0,4.0,12219,12297,78,4.11e-06,4.1056410256410246e-06,5.642307546653141e-08,0.0,0
2,31,63.0,4.0,12297,12375,78,4.01e-06,3.9982051282051294e-06,2.2230931889506187e-08,0.0,0
2,32,65.0,4.0,12375,12453,78,3.86e-06,3.875512820512822e-06,3.564955625636142e-08,0.0,0
2,33,67.0,4.0,12453,12530,77,3.82e-06,3.814675324675324e-06,2.2423573842178332e-08,0.0,0
2,34,69.0,4.0,12530,12608,78,3.745e-06,3.7430769230769246e-06,1.4702842242904087e-08,0.0,0
2,35,71.0,4.0,12608,12686,78,3.7e-06,3.704743589743588e-06,9.160164450203206e-09,0.0,0
2,36,73.0,4.0,12686,12764,78,3.69e-06,3.6888461538461535e-06,1.0497956972274011e-08,0.0,0
2,37,75.0,4.0,12764,12842,78,3.645e-06,3.6458974358974363e-06,9.119702176296886e-09,0.0,0
2,38,77.0,4.0,12842,12920,78,3.65e-06,3.645384615384617e-06,9.155677472490927e-09,0.0,0
2,39,79.0,4.0,12920,12997,77,3.61e-06,3.612597402597404e-06,7.961367337139815e-09,0.0,0
2,40,81.0,4.0,12997,13075,78,7.315e-06,1.259448717948718e-05,9.15552063349477e-06,0.41025641025641024,0
2,41,83.0,4.0,13075,13153,78,2.35e-05,2.3451282051282056e-05,4.998356074260959e-08,1.0,1
2,42,85.0,4.0,13153,13231,78,2.34e-05,2.3366666666666668e-05,1.0085107917588237e-07,1.0,1
2,43,87.0,4.0,13231,13309,78,2.29e-05,2.2987179487179482e-05,1.727299465958907e-07,1.0,1
2,44,89.0,4.0,13309,13386,77,2.34e-05,2.3392207792207796e-05,3.518497969907516e-08,1.0,1
2,45,91.0,4.0,13386,13464,78,2.34e-05,2.3406410256410257e-05,2.4493555351977717e-08,1.0,1
2,46,93.0,4.0,13464,13542,78,2.085e-05,1.721858974358974e-05,7.253807262813691e-06,0.7692307692307693,1
2,47,95.0,4.0,13542,13620,78,3.64e-06,3.6432051282051286e-06,9.673329676737321e-09,0.0,0
2,48,97.0,4.0,13620,13698,78,3.66e-06,3.6643589743589735e-06,7.26596272579724e-09,0.0,0
2,49,99.0,4.0,13698,13775,77,3.68e-06,3.6757142857142854e-06,4.948716593053888e-09,0.0,0
3,0,1.0,6.0,17713,17790,77,2.48e-05,2.4764935064935063e-05,4.7717332651619895e-08,1.0,1
3,1,3.0,6.0,17635,17713,78,2.48e-05,2.476282051282051e-05,4.832840211530919e-08,1.0,1
3,2,5.0,6.0,17557,17635,78,2.48e-05,2.4784615384615385e-05,3.6080121229410647e-08,1.0,1
3,3,7.0,6.0,17479,17557,78,2.48e-05,2.477948717948718e-05,4.0379527559034545e-08,1.0,1
3,4,9.0,6.0,17401,17479,78,2.48e-05,2.478333333333333e-05,3.7267799624996136e-08,1.0,1
3,5,11.0,6.0,17324,17401,77,2.48e-05,2.479220779220779e-05,2.680489277993519e-08,1.0,1
3,6,13.0,6.0,17246,17324,78,2.48e-05,2.4797435897435897e-05,1.5806189751202353e-08,1.0,1
3,7,15.0,6.0,17168,17246,78,2.48e-05,2.48e-05,0.0,1.0,1
