0.3761417,0.3670605,0.35898935,0.3571069,0.3571791,0.3584079,0.3571374,0.35715085,0.3572172,0.3572864,0.3566906,0.35472215,0.3549735,0.3558103,0.35651095,0.3573488,0.3590969,0.3633041,0.36505805,0.3666253,0.3686831,0.36833575,0.3686491,0.36895045,0.3694208,0.36917165,0.3694876,0.3705492,0.37118195,0.3739145,58.58082,59.72942,59.719515,60.43011,60.16964,59.07113,61.03594,60.996945,59.95376,65.38699
0.3339987,0.3332444,0.33273015,0.3319986,0.33107695,0.3303062,0.329505,0.3288694,0.3280719,0.3269723,0.3261114,0.3250825,0.3236525,0.3221824,0.32031255,0.3180658,0.31537965,0.3121489,0.3082317,0.3037028,0.2986777,0.2924511,0.285262,0.2776853,0.2716019,0.27955745,40.42712,58.55764,57.20655,58.76738,59.949125,59.62624,60.8117,60.83804,60.48761,59.84625,65.28631,65.29992,65.37366,65.338985
0.3364933,0.3388203,0.3416861,0.3447968,0.33918265,0.3383837,0.3403437,0.3417285,0.342618,0.343194,0.3440443,0.3447287,0.3455119,0.3463208,0.347341,0.3482885,0.34902,0.349967,0.3510356,0.3521959,0.3533084,0.354478,0.3557024,0.3569706,0.3583559,0.35936625,0.3600822,0.3608409,0.36151965,0.3621865,0.36273015,0.3633184,0.364253,55.11115,57.69883,58.914645,59.34545,59.536065,59.3321,60.86547
0.3303072,0.3299425,0.329793,0.3279682,0.3273464,0.3241732,0.3184844,0.3143738,0.3139065,0.3157478,0.3263294,0.3933645,0.3753329,0.3033723,0.30612345,0.3009931,0.2967248,0.2914729,0.2847437,0.2774779,0.2705862,0.2673823,0.29313865,59.63191,58.960725,59.83708,60.0909,59.38165,60.55833,60.42115,60.06721,59.39924,64.383605,65.1521,65.17804,65.15273,65.19625,65.181885,65.27453,65.25454
0.33553705,0.3371403,0.3388381,0.3404941,0.34204695,0.3435763,0.3450829,0.34671635,0.3481439,0.34945215,0.3506018,0.35160295,0.3526707,0.3535162,0.35446985,0.3554593,0.35641695,0.3675446,58.709385,59.63967,59.85155,60.65169,60.697,60.793285,60.28252,59.93957,57.98208,65.18262,65.1323,65.10676,65.094515,65.11845,65.126935,65.02079,57.78643,60.115605,60.41277,60.53708,60.36826,60.10021
0.3253051,0.3244386,0.32365445,0.3229302,0.3222578,0.3216915,0.3211563,0.3204561,0.3198301,0.31936305,0.3189752,0.3182536,0.3178989,0.3180267,0.31785835,0.3169989,0.31539885,0.3146266,0.3142091,0.3134066,0.3126062,0.3119296,0.311201,0.31039175,0.3094385,0.30829045,0.3068966,0.3053554,0.30337095,0.3009305,0.2981551,0.2946688,0.29058125,0.2858893,0.2806006,0.2744428,0.2677502,0.2613972,0.2604628,0.3129252
0.3293461,0.3302092,0.33106985,0.3315232,0.3324338,0.3336628,0.3348394,0.3361183,0.3373973,0.3387471,0.3399882,0.34111725,0.342021,0.3428676,0.3435794,0.3442057,0.34493855,0.3456082,0.34635875,0.3469733,0.3478524,25.8714588,60.41504,59.118,59.84032,60.53641,60.58631,60.48103,60.331575,56.80417,65.1405,65.11806,65.11966,65.12301,65.10473,65.07797,65.06546,56.879635,60.16007,60.484
0.3285517,0.3285193,0.3278202,0.3263545,0.32621365,0.3262217,0.3259004,0.3259629,0.3267516,0.3268067,0.327154,0.3278255,0.3297994,0.3350662,0.3794589,0.5956002,0.5200352,0.4507878,0.4130487,0.4040521,0.3924443,0.386366,0.38661375,0.3884886,0.4002719,0.4183584,0.4255139,0.3084996,0.3026369,0.2991401,0.295181,0.2911752,0.28699695,0.2840405,0.29003645,0.3689514,22.8743,60.15968,60.37418,60.41305
0.3299619,0.330467,0.34003905,59.30998,59.26968,59.08926,58.71837,58.68609,58.62703,58.488585,58.50915,58.539065,58.67065,58.89843,58.425565,0.293138,0.26330715,0.2655219,0.27220555,0.2792899,0.2851879,0.2910966,0.3030937,60.517955,60.71086,60.663095,60.68915,60.55245,60.4327,60.51233,60.26941,58.31237,64.754695,65.05776,65.01914,64.98041,64.91048,64.94141,64.92771,61.80068
0.2990495,0.2964948,0.29368605,0.2911879,0.28695875,0.2824933,0.2781648,0.27267785,0.2665498,0.2597885,0.2528817,0.24864435,0.2584212,38.23117,60.596645,60.56095,60.56287,60.56986,60.60292,60.60957,60.63957,60.582225,60.58517,60.577665,60.53777,0.37674955,0.2896127,0.2844727,0.27809925,0.2711233,0.2630583,0.2587997,0.26806285,44.0226,60.47087,60.43472,60.43858,60.43458,59.899,60.20504
